DATE,Away,Home,MtlGoals,OppGoals,Win,Tie,Defeat,monday,tuesday,wednesday,thursday,friday,saturday,sunday,AwayRollingMean,AwayRollingStd,AwayRelAvg,AwayRelAvgDifferenced,AwayRelAvgRollingMean,AwayRollingStandardization,AwayRollingNormalization,HomeRollingMean,HomeRollingStd,HomeRelAvg,HomeRelAvgDifferenced,HomeRelAvgRollingMean,HomeRollingStandardization,HomeRollingNormalization,MtlGoalsRollingMean,MtlGoalsRollingStd,MtlGoalsRelAvg,MtlGoalsRelAvgDifferenced,MtlGoalsRelAvgRollingMean,MtlGoalsRollingStandardization,MtlGoalsRollingNormalization,OppGoalsRollingMean,OppGoalsRollingStd,OppGoalsRelAvg,OppGoalsRelAvgDifferenced,OppGoalsRelAvgRollingMean,OppGoalsRollingStandardization,OppGoalsRollingNormalization,WinRollingMean,WinRollingStd,WinRelAvg,WinRelAvgDifferenced,WinRelAvgRollingMean,WinRollingStandardization,WinRollingNormalization,TieRollingMean,TieRollingStd,TieRelAvg,TieRelAvgDifferenced,TieRelAvgRollingMean,TieRollingStandardization,TieRollingNormalization,DefeatRollingMean,DefeatRollingStd,DefeatRelAvg,DefeatRelAvgDifferenced,DefeatRelAvgRollingMean,DefeatRollingStandardization,DefeatRollingNormalization,mondayRollingMean,mondayRollingStd,mondayRelAvg,mondayRelAvgDifferenced,mondayRelAvgRollingMean,mondayRollingStandardization,mondayRollingNormalization,tuesdayRollingMean,tuesdayRollingStd,tuesdayRelAvg,tuesdayRelAvgDifferenced,tuesdayRelAvgRollingMean,tuesdayRollingStandardization,tuesdayRollingNormalization,wednesdayRollingMean,wednesdayRollingStd,wednesdayRelAvg,wednesdayRelAvgDifferenced,wednesdayRelAvgRollingMean,wednesdayRollingStandardization,wednesdayRollingNormalization,thursdayRollingMean,thursdayRollingStd,thursdayRelAvg,thursdayRelAvgDifferenced,thursdayRelAvgRollingMean,thursdayRollingStandardization,thursdayRollingNormalization,fridayRollingMean,fridayRollingStd,fridayRelAvg,fridayRelAvgDifferenced,fridayRelAvgRollingMean,fridayRollingStandardization,fridayRollingNormalization,saturdayRollingMean,saturdayRollingStd,saturdayRelAvg,saturdayRelAvgDifferenced,saturdayRelAvgRollingMean,saturdayRollingStandardization,saturdayRollingNormalization,sundayRollingMean,sundayRollingStd,sundayRelAvg,sundayRelAvgDifferenced,sundayRelAvgRollingMean,sundayRollingStandardization,sundayRollingNormalization
1958-08-31,2.0,4.0,20.0,14.0,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0,8.125,4.764076885549662,-0.7538461538461538,-0.2386946386946387,-0.02890565682488426,-1.2856635497588782,-0.5568181818181818,8.625,5.343554194407635,-0.536231884057971,-0.12446717817561803,-0.010015549391832551,-0.8655287907139321,-0.30833333333333335,52.625,33.966107056467756,-0.6199524940617578,-0.22947630358556736,-0.026481712698928225,-0.9605163154482732,-0.38839285714285715,38.75,22.3526923913621,-0.6387096774193548,-0.39441000315225383,0.07970454731896799,-1.1072491656335908,-0.4583333333333333,8.5,5.9521904731427595,-0.7647058823529411,-0.328086164043082,-0.12699322755177916,-1.0920349456774014,-0.43333333333333335,2.875,1.807721533549109,-0.6521739130434783,0.0,0.09392998306041787,-1.0372172733478495,-0.375,5.375,3.543101950067402,-0.4418604651162791,-0.041860465116279055,0.16016864921213694,-0.670316585147887,-0.2375,0.75,0.8864052604279183,1.6666666666666665,2.6666666666666665,0.13333333333333358,1.4101901870444156,0.625,0.875,0.9910312089651149,-1.0,-1.1428571428571428,-0.07142857142857123,-0.8829187134416477,-0.2916666666666667,2.0,1.8516401995451028,-1.0,0.0,-0.18847117794486237,-1.0801234497346435,-0.5,3.625,2.38671920665766,-0.7241379310344828,-0.5241379310344828,-0.015599343185550035,-1.0998361234441256,-0.525,0.5,0.7559289460184544,-1.0,0.0,-0.3833333333333333,-0.6614378277661477,-0.25,4.75,3.058944729337694,-0.5789473684210527,-0.22759601706970134,0.013659408396250544,-0.8990028403015359,-0.34375,4.25,3.24037034920393,-0.7647058823529411,-0.23529411764705876,0.04617869875222827,-1.0029717747535973,-0.40625
1958-11-30,12.0,11.0,100.0,50.0,16.0,3.0,4.0,2.0,2.0,4.0,4.0,0.0,6.0,5.0,8.125,4.764076885549662,0.476923076923077,1.2307692307692308,-0.023394749821439922,0.8133789804596985,0.3522727272727273,8.75,5.391792704790177,0.2571428571428571,0.7933747412008281,0.0021997715191405254,0.4173009095844977,0.15,58.625,37.85663746293376,0.7057569296375266,1.3257094236992844,0.06636753313539223,1.0929391190781574,0.48676470588235293,37.75,21.53236766226272,0.32450331125827825,0.963212988677633,0.03358862910946446,0.5689109619593369,0.22685185185185186,9.625,6.4572771793867245,0.6623376623376624,1.4270435446906036,-0.00456687341810795,0.9872582240004542,0.425,2.875,1.807721533549109,0.04347826086956519,0.6956521739130435,0.07436476566911353,0.06914781822318997,0.025,4.375,2.326094212561969,-0.08571428571428574,0.35614617940199333,-0.07848681297273702,-0.161214450375582,-0.0625,1.0,0.9258200997725514,1.0,-0.6666666666666665,0.3833333333333336,1.0801234497346435,0.5,1.0,1.0690449676496976,1.0,2.0,0.03571428571428592,0.9354143466934853,0.3333333333333333,2.0,1.8516401995451028,1.0,2.0,-0.12894736842105284,1.0801234497346435,0.5,3.375,2.1998376563477846,0.18518518518518512,0.9093231162196679,-0.0674511950374019,0.2841118744360608,0.125,0.5,0.7559289460184544,-1.0,0.0,-0.3833333333333333,-0.6614378277661477,-0.25,4.75,3.058944729337694,0.26315789473684204,0.8421052631578947,0.009391983076193627,0.40863765468251634,0.15625,4.25,3.24037034920393,0.17647058823529416,0.9411764705882353,0.026570855614973382,0.23145502494313785,0.09375
1959-02-28,20.0,12.0,107.0,67.0,17.0,6.0,9.0,1.0,1.0,5.0,7.0,1.0,9.0,8.0,9.0,6.2105900340811875,1.2222222222222223,0.7452991452991453,0.06035317721006922,1.7711682689787094,0.6111111111111112,8.375,4.983902658989812,0.4328358208955223,0.1756929637526652,-0.02702908420225253,0.727341653324897,0.24166666666666667,59.625,39.15878846805292,0.7945492662473794,0.08879233660985286,0.06568619141631465,1.2098178174907057,0.5149456521739131,38.25,22.237355957937087,0.7516339869281046,0.4271306756698263,0.02913862215632862,1.2928695324382027,0.4956896551724138,9.75,6.606274074155351,0.7435897435897436,0.08125208125208117,0.0182598933110978,1.0974416015168056,0.48333333333333334,3.125,2.100170061141308,0.9199999999999999,0.8765217391304347,0.11436476566911352,1.3689367605010148,0.575,4.5,2.5634797778466227,1.0,1.0857142857142859,-0.04470302918895325,1.7554263696123615,0.6428571428571429,1.0,0.9258200997725514,0.0,-1.0,0.30833333333333357,0.0,0.0,1.0,1.0690449676496976,0.0,-1.0,0.01785714285714307,0.0,0.0,2.375,2.1339098923270936,1.1052631578947367,0.10526315789473673,0.03421052631578925,1.2301362908709128,0.525,3.5,2.390457218668787,1.0,0.8148148148148149,-0.017451195037401918,1.4641550464346322,0.5833333333333334,0.625,0.7440238091428449,0.6000000000000001,1.6,-0.1833333333333333,0.5040161287741853,0.1875,4.75,3.058944729337694,0.894736842105263,0.631578947368421,0.009391983076193627,1.3893680259205554,0.53125,4.125,3.044315545875155,0.9393939393939394,0.7629233511586453,-0.012254901960784187,1.2728641107030996,0.484375
1959-05-31,3.0,9.0,47.0,42.0,5.0,2.0,5.0,1.0,1.0,1.0,2.0,0.0,3.0,4.0,8.75,6.4309519401985,-0.6571428571428571,-1.8793650793650793,0.028583454395570293,-0.894113352652814,-0.3194444444444444,8.75,4.891683905218266,0.02857142857142847,-0.40426439232409384,0.017035302115654904,0.051107145278399796,0.016666666666666666,61.875,37.63523235328452,-0.2404040404040404,-1.0349533066514198,0.09366109052285349,-0.3952413488607523,-0.16168478260869565,40.625,21.373799047298206,0.03384615384615386,-0.7177878330819507,0.0744277855476818,0.06433109981792448,0.023706896551724137,9.75,6.606274074155351,-0.4871794871794872,-1.2307692307692308,0.019862457413661896,-0.7190134630627346,-0.31666666666666665,2.875,2.100170061141308,-0.30434782608695654,-1.2243478260869565,0.01950310559006213,-0.41663292710900446,-0.175,4.875,2.356601669474803,0.02564102564102555,-0.9743589743589745,0.027946543460619394,0.053042481306506815,0.017857142857142856,1.125,0.8345229603962802,-0.11111111111111116,-0.11111111111111116,0.4194444444444447,-0.14978617237881953,-0.0625,1.125,0.9910312089651149,-0.11111111111111116,-0.11111111111111116,0.12896825396825418,-0.12613124477737825,-0.041666666666666664,2.25,2.187627547301936,-0.5555555555555556,-1.6608187134502923,-0.010233918128655206,-0.5713952548922968,-0.25,3.625,2.2638462845343543,-0.4482758620689655,-1.4482758620689655,0.017031563583287737,-0.7178049194865025,-0.2708333333333333,0.375,0.5175491695067657,-1.0,-1.6,-0.4333333333333333,-0.724568837309472,-0.375,4.75,3.058944729337694,-0.368421052631579,-1.263157894736842,0.011416274574169327,-0.5720927165555229,-0.21875,4.25,3.011881234615431,-0.05882352941176472,-0.9982174688057042,0.014483065953654312,-0.08300460095396855,-0.03125
1959-08-31,3.0,5.0,30.0,14.0,5.0,2.0,1.0,2.0,0.0,0.0,1.0,2.0,2.0,1.0,8.625,6.545172703167252,-0.6521739130434783,0.004968944099378869,0.013238185853370804,-0.8594120056263794,-0.3125,9.125,4.38951673226759,-0.452054794520548,-0.48062622309197645,0.05611668809470405,-0.9397389853140068,-0.3173076923076923,63.75,35.26532088529547,-0.5294117647058824,-0.28900772430184196,0.11677033422033248,-0.957030849365465,-0.3879310344827586,41.25,20.36628867235546,-0.6606060606060606,-0.6944522144522145,0.08388499500489126,-1.337995372568212,-0.5141509433962265,10.0,6.347102826149446,-0.5,-0.012820512820512775,0.043401418452622936,-0.7877609890611015,-0.3333333333333333,3.0,2.0,-0.33333333333333337,-0.02898550724637683,0.05521739130434784,-0.5,-0.2,4.75,2.5495097567963922,-0.7894736842105263,-0.8151147098515519,0.001630753986935185,-1.4708710135363803,-0.46875,1.125,0.8345229603962802,0.7777777777777777,0.8888888888888888,0.2416666666666668,1.0485032066517366,0.4375,1.125,0.9910312089651149,-1.0,-0.8888888888888888,0.12896825396825418,-1.1351812029964043,-0.375,2.25,2.187627547301936,-1.0,-0.4444444444444444,-0.010233918128655206,-1.0285114588061344,-0.45,3.625,2.2638462845343543,-0.7241379310344828,-0.27586206896551724,0.017031563583287737,-1.1595310237858887,-0.4375,0.5,0.7559289460184544,3.0,4.0,-0.09999999999999995,1.984313483298443,0.75,4.875,2.9001231500945415,-0.5897435897435898,-0.22132253711201078,0.037057300215194974,-0.9913372126650131,-0.4107142857142857,4.25,3.011881234615431,-0.7647058823529411,-0.7058823529411764,0.014483065953654312,-1.0790598124015913,-0.40625
1959-11-30,14.0,9.0,81.0,47.0,16.0,5.0,2.0,1.0,3.0,1.0,4.0,0.0,8.0,6.0,8.875,6.728139203587954,0.5774647887323943,1.2296387017758725,0.0313168068329798,0.7617262135817525,0.2847222222222222,9.0,4.375255094603872,0.0,0.452054794520548,0.036189151862819985,0.0,0.0,63.875,35.332856016542365,0.2681017612524461,0.7975135259583285,0.09263465255040423,0.4846763587971011,0.1968390804597701,40.5,19.978559936663533,0.16049382716049387,0.8210998877665545,0.04555571993974537,0.3253487749170332,0.12264150943396226,10.375,6.631903411324901,0.5421686746987953,1.0421686746987953,0.0716155407646559,0.8481727870756572,0.375,3.25,2.1213203435596424,0.5384615384615385,0.8717948717948719,0.0808584169453735,0.8249579113843055,0.35,4.25,2.659215781283755,-0.5294117647058824,0.26006191950464397,-0.09339187044745396,-0.8461141122266492,-0.28125,1.125,0.8345229603962802,-0.11111111111111116,-0.8888888888888888,0.1527777777777779,-0.14978617237881953,-0.0625,1.125,0.9910312089651149,1.6666666666666665,2.6666666666666665,0.08730158730158749,1.8919686716606738,0.625,1.875,2.100170061141308,-0.4666666666666667,0.5333333333333333,-0.15409356725146223,-0.41663292710900446,-0.175,3.5,2.2038926600773587,0.1428571428571428,0.8669950738916256,-0.006777960226236071,0.22687130324325755,0.08333333333333333,0.5,0.7559289460184544,-1.0,-4.0,-0.09999999999999995,-0.6614378277661477,-0.25,5.25,3.1052950170405937,0.5238095238095237,1.1135531135531136,0.0923983555562503,0.8855841344893547,0.39285714285714285,4.5,3.070597894314954,0.33333333333333326,1.0980392156862744,0.05614973262032097,0.4885042104591972,0.1875
1960-02-29,13.0,15.0,121.0,76.0,17.0,5.0,6.0,1.0,1.0,3.0,5.0,1.0,9.0,8.0,8.875,6.728139203587954,0.46478873239436624,-0.11267605633802802,0.020385547636006918,0.6130967084926301,0.22916666666666666,8.75,3.882193783343198,0.7142857142857142,0.7142857142857142,0.0040980545543313485,1.6099144836138852,0.5681818181818182,67.25,39.64755441926489,0.7992565055762082,0.5311547443237621,0.09842749663321115,1.3556952197253982,0.5321782178217822,42.375,22.69636534778201,0.7935103244837758,0.6330164973232819,0.06504652392303614,1.4815147484963263,0.5423387096774194,10.375,6.631903411324901,0.6385542168674698,0.09638554216867457,0.04976815120642297,0.9989590603335519,0.44166666666666665,3.125,1.9594095320493148,0.6000000000000001,0.06153846153846154,0.019988851727982204,0.956920934256642,0.375,4.125,2.5319388392523003,0.4545454545454546,0.983957219251337,-0.0957842149450616,0.7405392148230961,0.234375,1.25,0.7071067811865476,-0.19999999999999996,-0.0888888888888888,0.2527777777777779,-0.35355339059327373,-0.125,1.125,0.9910312089651149,-0.11111111111111116,-1.7777777777777777,0.0734126984126986,-0.12613124477737825,-0.041666666666666664,1.75,1.9820624179302297,0.7142857142857142,1.1809523809523808,-0.15033416875522163,0.6306562238868912,0.25,3.375,2.065879266282796,0.4814814814814814,0.3386243386243386,-0.03587848932676517,0.7865900135219013,0.2708333333333333,0.5,0.7559289460184544,1.0,2.0,-0.04999999999999996,0.6614378277661477,0.25,5.25,3.1052950170405937,0.7142857142857142,0.19047619047619047,0.0634408265987213,1.20761472884912,0.5357142857142857,4.375,2.8753881725529062,0.8285714285714285,0.49523809523809526,0.020015278838808354,1.2606993499530024,0.5178571428571429
1960-05-31,4.0,8.0,41.0,37.0,6.0,2.0,4.0,0.0,3.0,1.0,2.0,1.0,3.0,2.0,8.875,6.728139203587954,-0.5492957746478873,-1.0140845070422535,0.016117515198960403,-0.7245688373094719,-0.2708333333333333,9.125,3.6030740843261686,-0.12328767123287676,-0.837573385518591,0.04015768388551587,-0.3122333800722814,-0.10227272727272728,68.375,38.61878706388529,-0.4003656307129799,-1.1996221362891881,0.09719131660361247,-0.7088518848278376,-0.27103960396039606,43.375,22.193547968465328,-0.1469740634005764,-0.9404843878843522,0.07721222528135172,-0.2872456449531277,-0.1028225806451613,10.5,6.524678426668135,-0.4285714285714286,-1.0671256454388984,0.05077418742372679,-0.6896891625504907,-0.3,3.25,1.8322507626258087,-0.3846153846153846,-0.9846153846153847,0.053433667781493915,-0.6822210286372691,-0.25,4.25,2.49284690951645,-0.05882352941176472,-0.5133689839572193,-0.05313715612153219,-0.10028694463571923,-0.03125,1.25,0.7071067811865476,-1.0,-0.8,0.2527777777777779,-1.7677669529663687,-0.625,1.375,1.1877349391654208,1.1818181818181817,1.2929292929292928,0.20328282828282845,1.3681503729626998,0.5416666666666666,1.875,1.8850918886280925,-0.4666666666666667,-1.1809523809523808,-0.08366750208855495,-0.4641683544863142,-0.175,3.25,2.1213203435596424,-0.3846153846153846,-0.866096866096866,-0.05895541240368825,-0.5892556509887896,-0.20833333333333334,0.625,0.7440238091428449,0.6000000000000001,-0.3999999999999999,0.15000000000000005,0.5040161287741853,0.1875,5.25,3.1052950170405937,-0.4285714285714286,-1.1428571428571428,0.05378831694621164,-0.724568837309472,-0.32142857142857145,4.375,2.8753881725529062,-0.5428571428571429,-1.3714285714285714,0.018334606569900783,-0.8259754361761049,-0.3392857142857143
1960-08-31,4.0,3.0,20.0,17.0,3.0,1.0,3.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0,9.125,6.468329437674439,-0.5616438356164384,-0.012348060968551122,0.040142804977674834,-0.792322043795375,-0.3014705882352941,9.0,3.8172540616821107,-0.6666666666666667,-0.54337899543379,0.023853336059428895,-1.5718104959867514,-0.5,68.375,38.61878706388529,-0.7074954296160878,-0.3071297989031079,0.08624844965932121,-1.2526286731889185,-0.47896039603960394,43.75,21.644860821913362,-0.6114285714285714,-0.46445450802799504,0.08062236353019964,-1.2358591824678387,-0.4314516129032258,10.625,6.345695954176906,-0.7176470588235294,-0.2890756302521008,0.05665654036490325,-1.2016018503031212,-0.5446428571428571,3.25,1.8322507626258087,-0.6923076923076923,-0.3076923076923077,0.04841694537346716,-1.2279978515470844,-0.45,4.25,2.49284690951645,-0.2941176470588235,-0.23529411764705876,-0.03466930386435024,-0.5014347231785962,-0.15625,1.0,0.7559289460184544,-1.0,0.0,-0.08055555555555544,-1.3228756555322954,-0.5,1.5,1.0690449676496976,-0.33333333333333337,-1.5151515151515151,0.28661616161616177,-0.46770717334674267,-0.16666666666666666,2.125,1.7268882005337975,-0.05882352941176472,0.40784313725490196,0.033979556734974464,-0.07238453535171606,-0.025,3.25,2.1213203435596424,-0.6923076923076923,-0.3076923076923077,-0.05497663256283945,-1.0606601717798214,-0.375,0.875,0.8345229603962802,1.2857142857142856,0.6857142857142855,0.4357142857142857,1.3480755514093756,0.5625,5.125,3.2705394924123103,-0.8048780487804879,-0.37630662020905925,0.02554698190128224,-1.2612598042524934,-0.515625,4.25,3.058944729337694,-1.0,-0.4571428571428571,-0.011077158135981577,-1.3893680259205554,-0.53125
1960-11-30,16.0,8.0,89.0,78.0,14.0,2.0,8.0,0.0,2.0,2.0,4.0,0.0,9.0,7.0,9.625,6.864765108872991,0.6623376623376624,1.2239814979541008,0.06331962815449801,0.9286552269297679,0.375,8.625,3.7392703642746747,-0.07246376811594202,0.5942028985507247,-0.017347492097920997,-0.16714490772619872,-0.052083333333333336,67.0,37.511902872859665,0.32835820895522394,1.0358536385713117,0.039073609574033386,0.5864805119208516,0.21782178217821782,47.25,24.829418035870273,0.6507936507936507,1.2622222222222221,0.1214086559721212,1.2384502913268627,0.48046875,10.375,6.13974173491268,0.3493975903614457,1.0670446491849752,0.017539031367876157,0.5904157139683914,0.25892857142857145,3.125,1.8850918886280925,-0.36,0.3323076923076923,-0.002017837235228484,-0.5967878843395469,-0.225,4.75,2.815771906346718,0.6842105263157894,0.9783281733746129,0.06157129763940915,1.1542128084574381,0.40625,0.75,0.7071067811865476,-1.0,0.0,-0.33055555555555544,-1.0606601717798212,-0.375,1.5,1.0690449676496976,0.33333333333333326,0.6666666666666666,0.2032828282828284,0.46770717334674267,0.16666666666666666,1.875,1.5526475085202969,0.06666666666666665,0.12549019607843137,-0.0826871099316922,0.08050764858994133,0.025,3.25,2.1213203435596424,0.23076923076923084,0.9230769230769231,-0.04927862686483374,0.3535533905932738,0.125,0.875,0.8345229603962802,-1.0,-2.2857142857142856,0.4357142857142857,-1.0485032066517366,-0.4375,5.5,3.5456210417116734,0.6363636363636365,1.4412416851441243,0.07219769960463154,0.9871331309310909,0.4375,4.5,3.2071349029490928,0.5555555555555556,1.5555555555555556,0.0363084627790511,0.7795119555779044,0.3125
1961-02-28,13.0,17.0,96.0,67.0,16.0,5.0,9.0,0.0,1.0,5.0,5.0,0.0,10.0,9.0,8.75,5.70087712549569,0.48571428571428577,-0.17662337662337668,-0.028743863908994055,0.7454993164109749,0.3269230769230769,9.25,4.6827952580239325,0.8378378378378379,0.91030160595378,0.03327776001986846,1.6549944152951033,0.5535714285714286,65.625,36.007687671226144,0.46285714285714286,0.13449893390191892,-0.002387905849746186,0.843569858674173,0.30074257425742573,47.25,24.829418035870273,0.4179894179894179,-0.2328042328042328,0.07970308485478536,0.795427422884733,0.30859375,10.25,5.994044663544928,0.5609756097560976,0.21157801939465193,-0.005287735361329593,0.9592854779629556,0.4107142857142857,3.0,1.6903085094570331,0.6666666666666667,1.0266666666666668,-0.03368450390189513,1.1832159566199232,0.5,4.75,2.815771906346718,0.894736842105263,0.21052631578947367,0.048413402902567015,1.5093552110597268,0.53125,0.625,0.7440238091428449,-1.0,0.0,-0.45555555555555544,-0.8400268812903088,-0.3125,1.5,1.0690449676496976,-0.33333333333333337,-0.6666666666666666,0.1616161616161617,-0.46770717334674267,-0.16666666666666666,1.875,1.5526475085202969,1.6666666666666665,1.5999999999999999,-0.01251167133520098,2.0126912147485334,0.625,3.0,1.6903085094570331,0.6666666666666667,0.4358974358974359,-0.0909452935315004,1.1832159566199232,0.5,0.75,0.8864052604279183,-1.0,0.0,0.2357142857142857,-0.8461141122266493,-0.375,5.625,3.7008686239082538,0.7777777777777777,0.14141414141414121,0.05757781656369587,1.1821549059420107,0.4861111111111111,4.625,3.3779748793788102,0.945945945945946,0.3903903903903905,0.03712746359805191,1.2951546877117501,0.4861111111111111
1961-05-31,4.0,5.0,23.0,25.0,5.0,1.0,3.0,1.0,2.0,1.0,1.0,0.0,1.0,3.0,8.875,5.566160513059505,-0.5492957746478873,-1.035010060362173,-0.01526297859712282,-0.8758281383661355,-0.375,8.75,4.920801328471382,-0.4285714285714286,-1.2664092664092665,-0.023865097122988677,-0.7620710021968954,-0.26785714285714285,62.625,38.681621697427026,-0.6327345309381238,-1.0955916737952667,-0.05142921716650661,-1.0243882821137182,-0.39232673267326734,45.125,26.040833319999575,-0.445983379501385,-0.8639727974908029,0.019724393186343003,-0.772824730787084,-0.314453125,10.25,5.994044663544928,-0.5121951219512195,-1.0731707317073171,-0.00841468970779613,-0.8758693494444377,-0.375,2.875,1.807721533549109,-0.6521739130434783,-1.318840579710145,-0.07716276477146035,-1.0372172733478495,-0.46875,4.5,2.878491668515698,-0.33333333333333337,-1.2280701754385963,0.0035416080307721504,-0.5211062503347383,-0.1875,0.625,0.7440238091428449,0.6000000000000001,1.6,-0.36666666666666653,0.5040161287741853,0.1875,1.625,1.0606601717798212,0.23076923076923084,0.5641025641025642,0.20435120435120446,0.3535533905932738,0.125,1.875,1.5526475085202969,-0.4666666666666667,-2.1333333333333333,-0.0014005602240898668,-0.5635535401295894,-0.175,2.875,1.807721533549109,-0.6521739130434783,-1.318840579710145,-0.1164325499033145,-1.0372172733478495,-0.46875,0.75,0.8864052604279183,-1.0,0.0,0.2357142857142857,-0.8461141122266493,-0.375,5.375,3.9618718519695424,-0.813953488372093,-1.5917312661498708,0.0018862620961316162,-1.10427599969572,-0.4861111111111111,4.5,3.4226138716316967,-0.33333333333333337,-1.2792792792792795,0.0028137381078558316,-0.4382615323430832,-0.16666666666666666
1961-08-31,1.0,2.0,12.0,8.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,8.625,5.902481318419036,-0.8840579710144928,-0.33476219636660554,-0.044248485843499635,-1.2918295863479896,-0.5083333333333333,8.375,5.343554194407635,-0.7611940298507462,-0.33262260127931764,-0.06250750153926346,-1.1930261709840686,-0.425,60.375,41.28623949245767,-0.8012422360248448,-0.16850770508672097,-0.08540802608137692,-1.1716978972821521,-0.44380733944954126,44.375,27.128990818995515,-0.819718309859155,-0.37373493035776995,-0.00016463797029378502,-1.3408165546110362,-0.5196428571428572,9.875,6.446205971621713,-0.7974683544303798,-0.28527323247916025,-0.0455982340115936,-1.2216488326107329,-0.525,2.625,2.065879266282796,-1.0,-0.34782608695652173,-0.16049609810479365,-1.2706454064584558,-0.525,4.5,2.878491668515698,-0.7777777777777778,-0.4444444444444444,0.0050035963348657175,-1.2159145841143895,-0.4375,0.375,0.5175491695067657,-1.0,-1.6,-0.5888888888888888,-0.724568837309472,-0.375,1.75,0.8864052604279183,-0.4285714285714286,-0.6593406593406594,0.27577977577977586,-0.8461141122266493,-0.375,2.0,1.4142135623730951,-0.5,-0.033333333333333326,0.06109943977591013,-0.7071067811865475,-0.25,2.75,1.9820624179302297,-1.0,-0.34782608695652173,-0.15091530852400414,-1.3874436925511608,-0.55,0.5,0.7559289460184544,-1.0,0.0,-0.2642857142857143,-0.6614378277661477,-0.25,5.25,4.0970372570571385,-0.8095238095238095,0.0044296788482834915,-0.025586265376395856,-1.03733496508468,-0.4722222222222222,4.375,3.583194903195431,-1.0,-0.6666666666666666,-0.026598026598026528,-1.2209774009497643,-0.4861111111111111
1961-11-30,13.0,12.0,102.0,60.0,15.0,8.0,2.0,1.0,1.0,3.0,6.0,1.0,7.0,6.0,8.5,5.7817446699565895,0.5294117647058822,1.413469735720375,-0.05025511384681364,0.7783117824941562,0.3,8.75,5.496752287877426,0.37142857142857144,1.1326226012793177,-0.01607893011069203,0.5912582248189666,0.21666666666666667,63.0,43.3984858195372,0.6190476190476191,1.4202898550724639,-0.0415397938569803,0.8986488644367154,0.3577981651376147,46.0,27.692185591916413,0.30434782608695654,1.1240661359461115,0.01781711189551405,0.505557784651231,0.2,9.75,6.3189058727418494,0.5384615384615385,1.3359298928919183,-0.04606162604125069,0.8308400387236599,0.35,3.0,2.7255405754769875,1.6666666666666665,2.6666666666666665,-0.019470457079152653,1.834498464263357,0.625,4.5,2.878491668515698,-0.5555555555555556,0.2222222222222222,0.001735622478656565,-0.868510417224564,-0.3125,0.375,0.5175491695067657,1.6666666666666665,2.6666666666666665,-0.3666666666666666,1.20761472884912,0.625,1.5,0.7559289460184544,-0.33333333333333337,0.09523809523809523,0.02577977577977586,-0.6614378277661477,-0.25,2.25,1.3887301496588271,0.33333333333333326,0.8333333333333333,0.16109943977591012,0.5400617248673217,0.1875,3.0,2.2677868380553634,1.0,2.0,-0.04377245138114699,1.3228756555322954,0.5,0.625,0.7440238091428449,0.6000000000000001,1.6,-0.06428571428571428,0.5040161287741853,0.1875,5.125,4.0155946010522525,0.36585365853658547,1.175377468060395,-0.04533074853551314,0.46692960477351775,0.20833333333333334,4.375,3.583194903195431,0.37142857142857144,1.3714285714285714,-0.021836121836121755,0.45350589178134104,0.18055555555555555
1962-02-28,15.0,14.0,115.0,64.0,19.0,3.0,7.0,4.0,1.0,3.0,3.0,2.0,9.0,7.0,8.75,6.041522986797286,0.7142857142857142,0.18487394957983194,-0.019067991110395144,1.03450736075296,0.4166666666666667,8.625,5.343554194407635,0.6231884057971016,0.2517598343685301,-0.02746609367176861,1.005884810829705,0.35833333333333334,62.25,42.290660907581,0.8473895582329318,0.22834193918531276,-0.035523162274889844,1.247320303536426,0.5121359223300971,44.5,26.115129714401192,0.4382022471910112,0.13385442110405465,-0.026596397766081525,0.7466935915407964,0.2785714285714286,10.0,6.676183683170241,0.8999999999999999,0.36153846153846136,-0.013380903149684431,1.3480755514093756,0.5294117647058824,2.75,2.6049403612586386,0.09090909090909083,-1.5757575757575757,-0.08310682071551631,0.09597148699373931,0.03125,4.625,2.9730936268953445,0.5135135135135136,1.0690690690690692,0.009106629849663941,0.7988312169233956,0.296875,0.75,1.3887301496588271,4.333333333333333,2.6666666666666665,0.20000000000000004,2.340267474425061,0.8125,1.5,0.7559289460184544,-0.33333333333333337,0.0,-0.0019980019980019165,-0.6614378277661477,-0.25,2.25,1.3887301496588271,0.33333333333333326,0.0,0.11348039215686251,0.5400617248673217,0.1875,2.75,2.1213203435596424,0.09090909090909083,-0.9090909090909092,-0.09259400020269581,0.11785113019775793,0.041666666666666664,0.75,0.8864052604279183,1.6666666666666665,1.0666666666666664,0.019047619047619035,1.4101901870444156,0.625,5.125,4.0155946010522525,0.7560975609756098,0.3902439024390243,-0.04010426769927619,0.9649878498652701,0.4305555555555556,4.25,3.453776401067595,0.6470588235294117,0.27563025210084025,-0.04452519746637386,0.7962298888688767,0.3055555555555556
